Nr,ES_ID,Comp_ID,Exp_ID,Study,Shared_control,Within_exp_id,Control_id,First_author,Year,J_abbr_name,animal,Strain,Dam_diet_choice_chow,Cont_Mean,Cont_SD,Cont_n,Treat_Mean,Treat_SD,Treat_n
50,ES197,Comp0861,Exp116,Study075,no,2,Exp116_F_0_2,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,231.3,12,9,217.2,19.8,9
51,ES195,Comp0859,Exp115,Study075,no,2,Exp115_M_0_2,Ferezou-Viala,2007,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,401.4,37.2,9,350.3,40.2,9
52,ES325,Comp1501,Exp172,Study119,no,1,Exp172_M_0_1,Wu,1999,AsiaPacJ ClinNutr,rat,Sprague-Dawley,chow,414,39.19183588,6,541,39.19183588,6
53,ES324,Comp1500,Exp171,Study119,no,1,Exp171_M_0_1,Wu,1999,AsiaPacJ ClinNutr,rat,Sprague-Dawley,chow,458,48.98979486,6,610,41.64132563,6
54,ES326,Comp1502,Exp173,Study119,no,1,Exp173_M_0_1,Wu,1999,AsiaPacJ ClinNutr,rat,Sprague-Dawley,chow,338,14.69693846,6,384,46.54030511,6
55,ES292,Comp1345,Exp155,Study103,no,1,Exp155_M_0_1,Jackson,2012,Am J Physiol Renal Physiol,rat,Sprague-Dawley,chow,408.57,32.5714599,10,427.17,57.86968118,10
56,ES307,"Comp1453,Comp1454,Comp1455,Comp1456,Comp1457,Comp1458",Exp161,Study109,yes,1,Exp161_F_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,26.02,1.888862091,6,32.29166667,1.134327995,6
57,ES321,Comp1497,Exp169,Study117,yes,1,Exp169_M_1_SC,Tuohetimulati,2012,Diabetol Int,mouse,C57BL/6J,chow,19.48,1.143153533,27,18.67,0.98498731,22
58,ES305,"Comp1441,Comp1442,Comp1443,Comp1444,Comp1445,Comp1446",Exp161,Study109,yes,1,Exp161_M_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,29.31166667,2.408298154,6,35.76666667,1.574769824,6
59,ES304,"Comp1435,Comp1436,Comp1437,Comp1438,Comp1439,Comp1440",Exp161,Study109,yes,2,Exp161_M_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,29.31166667,2.408298154,6,32.89333333,2.300260855,6
60,ES320,Comp1496,Exp169,Study117,yes,2,Exp169_M_1_SC,Tuohetimulati,2012,Diabetol Int,mouse,C57BL/6J,chow,19.48,1.143153533,27,18.37,0.972830921,14
61,ES306,"Comp1447,Comp1448,Comp1449,Comp1450,Comp1451,Comp1452",Exp161,Study109,yes,2,Exp161_F_1_SC,Masuyama,2014,Plos ONE,mouse,ICR,chow,26.02,1.888862091,6,29.48,2.329506385,6
62,ES199,Comp0863,Exp117,Study076,no,2,Exp117_M_0_2,Couvreur,2011,Plos ONE,rat,Wistar,chow,514.04,80.67733263,20,500.43,85.19418994,20
63,ES203,Comp0867,Exp119,Study076,no,2,Exp119_F_0_2,Couvreur,2011,Plos ONE,rat,Wistar,chow,317,42.42640687,18,265,26.92582404,29
64,ES201,Comp0865,Exp118,Study076,no,2,Exp118_M_0_2,Couvreur,2011,Plos ONE,rat,Wistar,chow,546,70.3562364,22,459,48.46648326,29
65,ES319,"Comp1490,Comp1491,Comp1492,Comp1493,Comp1494,Comp1495",Exp168,Study116,no,1,Exp168_M_0_1,Sun,2013,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,252.9116667,23.2244311,12,294.5466667,16.45589864,12
66,ES288,Comp1341,Exp153,Study101,no,1,Exp153_F_0_1,Dunn,2009,Endocrinology,mouse,C57BL/6,chow,17.04,2.333452378,18,19.94,2.485920353,22
67,ES287,Comp1340,Exp153,Study101,no,1,Exp153_M_0_1,Dunn,2009,Endocrinology,mouse,C57BL/6,chow,20.8,1.951614716,18,23.5,2.498519562,26
68,ES106,Comp0499,Exp058,Study041,no,1,Exp058_F_0_1,Mitra,2009,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,254.68,34.64101615,12,246.69,34.64101615,12
69,ES108,Comp0501,Exp060,Study041,no,1,Exp060_F_0_1,Mitra,2009,Am J Physiol Regul Integr Comp Physiol,rat,Wistar,chow,254.18,34.64101615,12,247.69,34.64101615,12
70,ES312,Comp1467,Exp164,Study112,no,1,Exp164_F_0_1,King,2013,Plos ONE,mouse,C57BL/6J,chow,21.94,3.0622704,31,20.9,2.248199279,39
71,ES316,"Comp1479,Comp1480,Comp1481,Comp1482,Comp1483,Comp1484,Comp1485,Comp1486,Comp1487",Exp166,Study114,no,1,Exp166_F_0_1,Samuelsson,2013,Front Physiol,mouse,C57BL/6J,choice,13.56222222,1.351591654,6,15.71555556,2.198726904,6
72,ES311,Comp1466,Exp164,Study112,no,1,Exp164_M_0_1,King,2013,Plos ONE,mouse,C57BL/6J,chow,28.09,2.262366018,47,28.34,2.409979253,30
73,ES302,Comp1433,Exp159,Study107,no,1,Exp159_FM_0_1,Oben,2010,J Hepatol,mouse,C57BL/6J,choice,21.48,0.9,4,21.93,0.96,4
74,ES315,"Comp1470,Comp1471,Comp1472,Comp1473,Comp1474,Comp1475,Comp1476,Comp1477,Comp1478",Exp166,Study114,no,1,Exp166_M_0_1,Samuelsson,2013,Front Physiol,mouse,C57BL/6J,choice,17.83666667,1.722517537,6,18.00111111,3.408460063,6
75,ES231,"Comp1018,Comp1019,Comp1020,Comp1021,Comp1022,Comp1023,Comp1024,Comp1025,Comp1026,Comp1027,Comp1028,Comp1029,Comp1030,Comp1031,Comp1032,Comp1033,Comp1034,Comp1035,Comp1036",Exp128,Study084,no,1,Exp128_F_0_1,Samuelsson,2008,Hypertension,mouse,C57BL/6J,choice,18.19526316,1.103258332,8,19.51052632,1.119755612,8
76,ES230,"Comp0999,Comp1000,Comp1001,Comp1002,Comp1003,Comp1004,Comp1005,Comp1006,Comp1007,Comp1008,Comp1009,Comp1010,Comp1011,Comp1012,Comp1013,Comp1014,Comp1015,Comp1016,Comp1017",Exp127,Study084,no,1,Exp127_M_0_1,Samuelsson,2008,Hypertension,mouse,C57BL/6J,choice,23.49526316,1.039716561,8,25.13157895,1.759294117,8
77,ES036,"Comp0056,Comp0057,Comp0058,Comp0059,Comp0060,Comp0061,Comp0062,Comp0063,Comp0064,Comp0065,Comp0066,Comp0067,Comp0068,Comp0069",Exp017,Study016,no,1,Exp017_M_0_1,Khan,2003,Hypertension,rat,Sprague-Dawley,chow,349.9357143,49.50857675,12,383.9578571,63.24855176,14
78,ES037,"Comp0070,Comp0071,Comp0072,Comp0073,Comp0074,Comp0075,Comp0076,Comp0077,Comp0078,Comp0079,Comp0080,Comp0081,Comp0082,Comp0083",Exp017,Study016,no,1,Exp017_F_0_1,Khan,2003,Hypertension,rat,Sprague-Dawley,chow,226.64,39.98433729,12,241.0135714,33.38669346,14
79,ES040,"Comp0116,Comp0117,Comp0118,Comp0119,Comp0120,Comp0121,Comp0122,Comp0123,Comp0124",Exp019,Study018,no,1,Exp019_M_0_1,Kirk,2009,Plos ONE,rat,Sprague-Dawley,chow,263.35,7.692073843,8,307.7244444,22.75029475,8
80,ES041,"Comp0125,Comp0126,Comp0127,Comp0128,Comp0129,Comp0130,Comp0131,Comp0132,Comp0133",Exp019,Study018,no,1,Exp019_F_0_1,Kirk,2009,Plos ONE,rat,Sprague-Dawley,chow,194.9244444,23.59353961,8,220.7844444,27.57570912,8
81,ES224,"Comp0969,Comp0973,Comp0977,Comp0981,Comp0985,Comp0989,Comp0993",Exp038,Study031,yes,1,Exp038_FM_1_SC,Bayol,2007,Brit J Nutr,rat,Wistar,choice,215.6957143,286.460829,36,205.55,271.5767787,36
82,ES225,"Comp0970,Comp0974,Comp0978,Comp0982,Comp0986,Comp0990,Comp0994",Exp038,Study031,yes,2,Exp038_FM_1_SC,Bayol,2007,Brit J Nutr,rat,Wistar,choice,215.6957143,286.460829,36,203.29,279.0632831,36
83,ES038,"Comp0084,Comp0085,Comp0086,Comp0087,Comp0088,Comp0089,Comp0090,Comp0091,Comp0092,Comp0093,Comp0094,Comp0095,Comp0096,Comp0097,Comp0098,Comp0099",Exp018,Study017,no,1,Exp018_M_0_1,Nivoit,2009,Diabetologia,rat,Wistar,chow,377.160625,57.18256618,15,423.675625,29.16046124,10
84,ES039,"Comp0100,Comp0101,Comp0102,Comp0103,Comp0104,Comp0105,Comp0106,Comp0107,Comp0108,Comp0109,Comp0110,Comp0111,Comp0112,Comp0113,Comp0114,Comp0115",Exp018,Study017,no,1,Exp018_F_0_1,Nivoit,2009,Diabetologia,rat,Wistar,chow,247.198125,25.85269147,15,272.0075,21.70570893,8
85,ES298,"Comp1377,Comp1378,Comp1379,Comp1380,Comp1381,Comp1382,Comp1383,Comp1384,Comp1385,Comp1386,Comp1387,Comp1388,Comp1389,Comp1390",Exp158,Study106,yes,1,Exp158_M_1_SC,Khan,2005,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,327.2285714,42.07931032,6,322.4857143,39.23798542,6
86,ES299,"Comp1391,Comp1392,Comp1393,Comp1394,Comp1395,Comp1396,Comp1397,Comp1398,Comp1399,Comp1400,Comp1401,Comp1402,Comp1403,Comp1404",Exp158,Study106,yes,2,Exp158_M_1_SC,Khan,2005,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,327.2285714,42.07931032,6,350.255,40.28720499,6
87,ES296,"Comp1349,Comp1350,Comp1351,Comp1352,Comp1353,Comp1354,Comp1355,Comp1356,Comp1357,Comp1358,Comp1359,Comp1360,Comp1361,Comp1362",Exp157,Study105,no,1,Exp157_F_0_1,Khan,2004,Circulation,rat,Sprague-Dawley,chow,214.585,32.06711266,10,225.0928571,31.0859741,10
88,ES301,"Comp1419,Comp1420,Comp1421,Comp1422,Comp1423,Comp1424,Comp1425,Comp1426,Comp1427,Comp1428,Comp1429,Comp1430,Comp1431,Comp1432",Exp158,Study106,yes,1,Exp158_F_1_SC,Khan,2005,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,213.785,29.7996395,6,225.8964286,135.9397529,6
89,ES300,"Comp1405,Comp1406,Comp1407,Comp1408,Comp1409,Comp1410,Comp1411,Comp1412,Comp1413,Comp1414,Comp1415,Comp1416,Comp1417,Comp1418",Exp158,Study106,yes,2,Exp158_F_1_SC,Khan,2005,Am J Physiol Regul Integr Comp Physiol,rat,Sprague-Dawley,chow,213.785,29.7996395,6,207.0835714,22.34702185,6
90,ES297,"Comp1363,Comp1364,Comp1365,Comp1366,Comp1367,Comp1368,Comp1369,Comp1370,Comp1371,Comp1372,Comp1373,Comp1374,Comp1375,Comp1376",Exp157,Study105,no,1,Exp157_M_0_1,Khan,2004,Circulation,rat,Sprague-Dawley,chow,327.1014286,52.39891493,10,348.1471429,49.23709838,10
91,ES290,Comp1343,Exp154,Study102,yes,2,Exp154_M_1_SC,Gregorio,2013,Eur J Nutr,mouse,C57BL/6,chow,22.2,1.118033989,5,23.79,0.98386991,5
92,ES289,Comp1342,Exp154,Study102,yes,3,Exp154_M_1_SC,Gregorio,2013,Eur J Nutr,mouse,C57BL/6,chow,22.2,1.118033989,5,24.4,0.916787871,5
93,ES155,"Comp0697,Comp0698,Comp0699,Comp0700,Comp0701,Comp0702,Comp0703,Comp0704,Comp0705,Comp0706,Comp0707,Comp0708,Comp0709,Comp0710,Comp0711,Comp0712,Comp0713,Comp0714,Comp0715,Comp0716",Exp092,Study057,no,1,Exp092_FM_0_1,Walker,2008,Ann NY Acad Sci,rat,Sprague-Dawley,chow,239.0515,15.5958533,16,254.4945,21.36768588,16
94,ES317,Comp1488,Exp167,Study115,no,1,Exp167_M_0_1,Shalev,2010,Physiol Behav,rat,Wistar,choice,584.75,63.73572311,6,580.95,56.84694891,11
95,ES048,Comp0144,Exp023,Study021,no,3,Exp023_FM_0_3,Chen,2009,Plos ONE,rat,Sprague-Dawley,choice,460.3,30.48409421,12,482.7,54.38639536,12
96,ES265,Comp1242,Exp145,Study093,no,1,Exp145_F_0_1,Rajia,2013,Nutr Metab Cardiovasc Disease,rat,Sprague-Dawley,choice,141.7,9.684544388,11,162.25,22.00945251,10
97,ES052,Comp0148,Exp024,Study022,no,1,Exp024_FM_0_1,Chen,2009,Obesity,rat,Sprague-Dawley,choice,35,5.159457336,22,60.6,20.63782934,22
98,ES049,Comp0145,Exp023,Study021,no,4,Exp023_FM_0_4,Chen,2009,Plos ONE,rat,Sprague-Dawley,choice,506.6,29.44486373,12,524.8,22.86307066,12
99,ES264,Comp1241,Exp144,Study092,no,1,Exp144_M_0_1,Chen,2012,J Neuroendocrinol,rat,Sprague-Dawley,choice,214.7,12.26291972,12,244.2,28.26706918,12
100,ES280,Comp1257,Exp150,Study098,no,1,Exp150_M_0_1,Chen,2014,Diabetologia,rat,Sprague-Dawley,chow,377,27.83882181,31,385,44.5421149,31
101,ES313,Comp1468,Exp165,Study113,no,2,Exp165_F_0_2,Rajia,2012,thesis,rat,Sprague-Dawley,choice,195.95,10.81665383,13,212.37,9,9
102,ES266,Comp1243,Exp146,Study094,no,1,Exp146_M_0_1,Caruso,2013,J Neuroendocrinol,rat,Sprague-Dawley,choice,544.2,48.84383277,12,628.7,3.810511777,12
103,ES053,Comp0149,Exp025,Study023,no,2,Exp025_M_0_2,Rajia,2010,J Neuroendocrinol,rat,Sprague-Dawley,choice,320.9,8.538149682,10,363.6,11.38419958,10
104,ES267,Comp1244,Exp147,Study095,no,1,Exp147_F_0_1,Bahari,2013,Endocrinology,rat,Sprague-Dawley,choice,230.33,14.00382805,23,257.82,33.3789874,23
105,ES205,Comp0889,Exp122,Study079,no,1,Exp122_M_0_1,Bouanane,2010,Metab Clin Exp,rat,Wistar,choice,346,43.00697618,10,486,27.98615729,10
106,ES272,Comp1249,Exp148,Study096,yes,1,Exp148_M_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,57.73,13.76,16,56.91,7.92,16
107,ES278,Comp1255,Exp149,Study097,no,2,Exp149_M_0_2,Beltrand,2012,J Nutr Metab,rat,Wistar,chow,390.59,49.7803174,8,397.01,49.7803174,8
108,ES276,Comp1253,Exp148,Study096,yes,1,Exp148_F_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,62.33,16.6,16,53.31,5.04,16
109,ES271,Comp1248,Exp148,Study096,yes,2,Exp148_M_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,57.73,13.76,16,51.19,3.96,16
110,ES277,Comp1254,Exp148,Study096,yes,2,Exp148_F_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,62.33,16.6,16,55.99,7,16
111,ES269,Comp1246,Exp148,Study096,yes,3,Exp148_M_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,57.73,13.76,16,53.79,6.2,16
112,ES270,Comp1247,Exp148,Study096,yes,4,Exp148_M_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,57.73,13.76,16,56.23,4.32,16
113,ES273,Comp1250,Exp148,Study096,yes,3,Exp148_F_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,62.33,16.6,16,53.97,5.92,16
114,ES274,Comp1251,Exp148,Study096,yes,4,Exp148_F_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,62.33,16.6,16,57.11,2.92,16
115,ES275,Comp1252,Exp148,Study096,yes,5,Exp148_F_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,62.33,16.6,16,56.56,4.72,16
116,ES268,Comp1245,Exp148,Study096,yes,5,Exp148_M_1_SC,Akyol,2012,Brit J Nutr,rat,Wistar,choice,57.73,13.76,16,52,4.8,16
