row.id,pub.date,study.name,organism.grp,functional.grp,scale.grp,crop.grp,region,samp.unit,Cont_Mean,Treat_Mean,Cont_n,Treat_n,Cont_SD,Treat_SD,pooled.sd,hedges.g,samp.var,logRR,logRR.var,num.habitats,mean.field.size,sd.field.size,median.field.size,field.cov,forest.cov,pasture.cov,wetland.cov,water.cov,urban.cov,rural.cov,line.cov
31,2010,Diekotteretal.2010,Arth,Pred,Farm,Cereal,WCEurope,num.sp,21.36,23.69,3,3,0.54,2.53,1.829275813,1.018982478,0.796457328,0.103533004,0.004014845,10.19796041,146.0869565,106.3407529,115,0.671865627,0.097380524,0.039792042,0,0.024195161,0.132773445,0,0.033993201
32,2010,Diekotteretal.2010,Arth,Pred,Farm,Cereal,WCEurope,num.sp,22.35,19.68,3,3,2.08,1.54,1.830027322,-1.167195688,0.836959889,-0.127223429,0.004928151,10.19796041,146.0869565,106.3407529,115,0.671865627,0.097380524,0.039792042,0,0.024195161,0.132773445,0,0.033993201
33,2010,Diekotteretal.2010,Arth,Pred,Farm,Cereal,WCEurope,num.sp,21.86,21.69,6,6,1.31,2.04,1.71430744,-0.091537301,0.333752287,-0.007807158,0.002072851,10.19796041,146.0869565,106.3407529,115,0.671865627,0.097380524,0.039792042,0,0.024195161,0.132773445,0,0.033993201
34,2003,DORING03Reckenfeld,Arth,Pred,Field,Cereal,WCEurope,num.sp,30.722,38.091,8,6,4.1,5.552,4.759144881,1.449554168,0.37921697,0.214999023,0.005767087,7.011217949,212.9411765,191.3029242,163,0.725160256,0.163661859,0,0,0,0.071514423,0.025641026,0.014022436
35,2003,DORING03Reckenfeld,Plants,Producer,Field,Cereal,WCEurope,num.sp,11.004,28.041,8,6,8.011,8.398,8.174476879,1.951137932,0.450289135,0.935408882,0.081198502,7.011217949,212.9411765,191.3029242,163,0.725160256,0.163661859,0,0,0,0.071514423,0.025641026,0.014022436
36,2003,HUTTON03,Arth,Decomp,Farm,Grass,WCEurope,num.sp.per.trap,11.5,15.75,4,4,1.290994,1.892969,1.620184734,2.281006664,0.933582617,0.31449333,0.006761916,16.84717208,99.57894737,67.31315745,101,0.75892499,0.022663458,0.087043722,0,0,0,0.017047734,0.114320096
37,2003,HYVONEN03,Plants,Producer,Farm,Cereal,WCEurope,num.sp.per.trap,40.65,46.6,62,43,1.6,1.95,1.751185451,3.372897678,0.094610277,0.136601705,6.57E-05,7.212532762,214.9669118,NA,NA,0.595598725,0.320217144,0.022438403,0,0.002696764,0,0.036416533,0.022632432
38,2003,IRMLER03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.10.trapping.days,24.62427318,32.43452498,27,5,15.98097238,23.88892767,17.24616082,0.441452145,0.240285037,0.27549077,0.124094309,13.46733668,113.09375,86.71546328,83.5,0.727437186,0.007035176,0.018492462,0,0.004020101,0.048643216,0.055075377,0.139296482
39,2003,WEIBULL.etal03,Plants,Producer,Farm,Mixed,WCEurope,num.sp,23,25.25,8,8,5.903,8.048,7.057468137,0.301421514,0.253244819,0.09333194,0.020932607,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
40,2003,WEIBULL.etal03,Plants,Producer,Farm,Mixed,WCEurope,num.sp,38.5,36.375,8,8,10.623,10.555,10.58905458,-0.189732794,0.251285662,-0.056776516,0.020041585,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
41,2003,WEIBULL.etal03,Arth,Poll,Farm,Mixed,WCEurope,num.sp.per.transect,7,6.75,8,8,2.536,3.654,3.14507647,-0.075153542,0.250201716,-0.036367644,0.05303659,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
42,2003,WEIBULL.etal03,Arth,Poll,Farm,Mixed,WCEurope,num.sp.per.transect,4.125,7.375,8,8,3.044,3.335,3.192817016,0.962387527,0.283078205,0.581029882,0.093630307,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
43,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,10.125,10,8,8,4.673,4.208,4.446582564,-0.026578123,0.250025228,-0.01242252,0.048760422,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
44,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,10.375,9.25,8,8,3.502,4.131,3.829436316,-0.277752723,0.252755235,-0.114775515,0.039172681,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
45,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,1.035,0.949,8,8,0.084,0.069,0.076866768,-1.057792505,0.289961607,-0.086747907,0.001484165,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
46,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,0.898,0.86,8,8,0.388,0.362,0.375225266,-0.095748544,0.250327421,-0.043237679,0.04548348,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
47,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,0.991,0.809,8,8,0.166,0.362,0.281602557,-0.611048171,0.263334995,-0.202915617,0.028535577,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
48,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,20.75,15.375,8,8,7.324,4.867,6.218065013,-0.817266814,0.273854466,-0.299803433,0.028098648,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
49,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,16.5,14.375,8,8,5.606,5.289,5.449805363,-0.3686537,0.25485377,-0.137869794,0.031351002,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
50,2003,WEIBULL.etal03,Arth,Pred,Farm,Mixed,WCEurope,num.sp.per.trap,12.25,12,8,8,3.24,4.276,3.793532391,-0.062307004,0.250138649,-0.020619287,0.024616037,8,173.25,164.8391135,110,0.5544,0.279,0.0762,0.016,0,0,0.053,0.0214
51,2005,BITHELL05,Earthworms,Decomp,Field,Grass,NZ-Australia,num.sp,3,2,6,6,9.797,7.348,8.659512486,-0.10659687,0.333901478,-0.405465108,4.027142463,7.988815658,215.5789474,191.0149255,174,0.818054723,0.02037148,0.02037148,0,0,0,0.048532055,0.092670262
52,2005,CLOUGH05,Arth,Pred,Field,Cereal,WCEurope,num.sp,0.4039939,0.4033011,21,21,0.1736281,0.1616456,0.167743878,-0.004052179,0.0952383,-0.001716349,0.016445507,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
53,2005,Purtauf,Arth,Pred,Field,Cereal,WCEurope,num.sp.per.trap,20.41,18.95,12,12,5.49,4.96,5.23171578,-0.269444143,0.16831667,-0.074221045,0.011738494,9.08723748,185.0526316,167.7645419,129,0.710016155,0.209006462,0,0,0,0.018982229,0.011308562,0.050686591
54,2005,SCHMIDT05,Arth,Pred,Field,Cereal,WCEurope,num.sp.per.trap,16.65,13.089,12,12,3.774,3.389,3.586669555,-0.958607099,0.187551384,-0.240638034,0.009868099,9.08723748,185.0526316,167.7645419,129,0.710016155,0.209006462,0,0,0,0.018982229,0.011308562,0.050686591
55,2006,GENGHINI06,Birds,Other,Farm,Orchard,SEurope,num.sp.per.100ha,0.4,0.68,26,15,0.24,0.23,0.236458919,1.161219234,0.122415771,0.530628251,0.021473028,11.99280432,129.5185185,123.7877745,82,0.698980612,0.040975415,0.047371577,0,0,0.044973016,0.113931641,0.053767739
56,2006,PETERSEN06,Plants,Producer,Plot,Mixed,NEurope,num.sp.per.0.1msq,14.028,20.251,60,60,4.4541495,8.9090735,7.043118571,0.877929712,0.036599268,0.367148843,0.004905977,9.379365396,175.1666667,108.6490573,147.5,0.629215725,0.160247456,0.114747555,0,0.041508681,0,0.021353023,0.032927559
57,2006,RUNDLOF06,Arth,Poll,Farm,Cereal,NEurope,num.sp.per.transect,1.401459854,1.614963504,6,6,0.120686538,0.160915385,0.14223045,1.385640646,0.429333333,0.141797912,0.002890659,7.604562738,218.2857143,185.8222653,209,0.91735041,0,0,0,0,0,0.058635181,0.024014409
58,2006,RUNDLOF06,Arth,Poll,Farm,Cereal,NEurope,num.sp.per.transect,0.306569343,0.903284672,6,6,0.040228846,0.107276923,0.0810145,6.798957623,2.644624571,1.080593784,0.005220678,11.3931641,120.4545455,72.76100949,113.5,0.529682191,0.240855487,0.184489306,0,0,0,0.010793524,0.034179492
59,2006,VAN.DIEPENINGEN06,Microbes,Decomp,Farm,Mixed,WCEurope,num.sp,43.43,49.75,14,14,6.1,8.13,7.187033463,0.853748958,0.156874206,0.135860017,0.003316643,10.20575288,170.2301587,130.1669527,129.5,0.816966606,0.051753913,0.01294222,0,0.004867401,0.012012294,0.040827839,0.060629727
60,2006,VAN.DIEPENINGEN06,Nematodes,Decomp,Farm,Mixed,WCEurope,num.sp,22.43,24.845,14,14,4.955,3.01,4.099519789,0.571935328,0.14914772,0.102257177,0.004534186,10.20575288,170.2301587,130.1669527,129.5,0.816966606,0.051753913,0.01294222,0,0.004867401,0.012012294,0.040827839,0.060629727
61,2007,CLOUGH.AEE07,Arth,Pred,Field,Cereal,WCEurope,num.sp.per.trap,26.36868203,26.43722452,21,21,8.59641171,4.2353371,6.776295988,0.009924188,0.095239326,0.002596017,0.006283174,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
62,2007,CLOUGH.AEE07,Arth,Decomp,Field,Cereal,WCEurope,num.sp.per.trap,5.288914665,6.980633614,21,21,1.724230582,2.275745162,2.018909005,0.822127059,0.103686757,0.277526631,0.010122045,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
63,2007,CLOUGH.AEE07,Arth,Decomp,Field,Cereal,WCEurope,num.sp.per.trap,5.914254353,5.348747742,21,21,2.942994423,2.661592457,2.80582346,-0.197744684,0.095726882,-0.100502963,0.023582486,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
64,2007,CLOUGH.a07,Plants,Producer,Farm,Cereal,WCEurope,num.sp,17.61006289,33.4591195,21,21,6.052458465,10.08743078,8.318308518,1.869372574,0.138920018,0.641853886,0.009953255,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
65,2007,CLOUGH.a07,Plants,Producer,Farm,Cereal,WCEurope,num.sp,7.924528302,22.01257862,21,21,6.052458465,6.052458465,6.052458465,2.28373943,0.160431418,1.021651248,0.031377778,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
66,2007,CLOUGH.a07,Arth,Poll,Farm,Cereal,WCEurope,num.sp,1.424435437,4.891719745,21,21,2.921491511,3.499952138,3.223722818,1.055259413,0.109157751,1.233768377,0.224687912,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
67,2007,CLOUGH.a07,Arth,Poll,Farm,Cereal,WCEurope,num.sp,0.456282571,3.666473654,21,21,6.052458465,2.335070418,4.587199981,0.686610885,0.101131027,2.083873331,8.398013347,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
68,2007,CLOUGH.a07,Arth,Pred,Farm,Cereal,WCEurope,num.sp,22.17831636,23.20864067,21,21,8.805938835,10.08743078,9.468390003,0.106764111,0.095380577,0.045409581,0.016503001,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
69,2007,CLOUGH.a07,Arth,Pred,Farm,Cereal,WCEurope,num.sp,19.74300433,20.76747453,21,21,7.343871306,6.052458465,6.729216122,0.149369638,0.095516986,0.050588821,0.010633383,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
70,2007,CLOUGH.a07,Arth,Pred,Farm,Cereal,WCEurope,num.sp,19.62025316,17.72151899,21,21,8.701093092,5.800728728,7.394507244,-0.25193146,0.096031463,-0.101782694,0.014467285,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
71,2007,CLOUGH.a07,Arth,Pred,Farm,Cereal,WCEurope,num.sp,15.18987342,15.18987342,21,21,5.800728728,2.900364364,4.585878717,0,0.095238095,0,0.008680556,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
72,2007,CLOUGH.a07,Arth,Other,Farm,Cereal,WCEurope,num.sp,25.59573618,26.42078614,21,21,11.60145746,11.59657263,11.5990153,0.06978894,0.095298976,0.031725272,0.018956751,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
73,2007,CLOUGH.a07,Arth,Other,Farm,Cereal,WCEurope,num.sp,20.62624917,21.45129913,21,21,6.960874473,6.955989649,6.95843249,0.116331227,0.095407257,0.039220713,0.010430511,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
74,2007,FEBER07,Arth,Poll,Farm,Cereal,WCEurope,num.sp.per.km,8.593,11.202,10,10,3.054,2.426,2.757933284,0.906026472,0.222802332,0.265144415,0.017321502,10.42637874,160.28,124.5266103,130,0.803432685,0.026065947,0.083812045,0,0,0,0.017845148,0.068844176
75,2007,FEBER07,Arth,Poll,Farm,Cereal,WCEurope,num.sp.per.km,13.856,16.473,10,10,1.511,2.362,1.982695766,1.264148831,0.244390896,0.173004325,0.003245154,10.42637874,160.28,124.5266103,130,0.803432685,0.026065947,0.083812045,0,0,0,0.017845148,0.068844176
76,2007,GABRIEL07,Plants,Producer,Field,Cereal,WCEurope,num.sp,3.537735849,10.09433962,20,20,1.432075472,1.784528302,1.617927906,3.971957032,0.307584772,1.048487901,0.0097558,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
77,2007,GABRIEL07,Plants,Producer,Field,Cereal,WCEurope,num.sp,6.179245283,13.82075472,20,20,1.221132076,1.901132076,1.597727561,4.687714947,0.389140413,0.804975286,0.002898737,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
78,2007,HOLZSCHUH07,Plants,Producer,Field,Cereal,WCEurope,num.sp,5.597,12.862,21,21,6.93,6.52,6.72812381,1.059422319,0.109267791,0.832046488,0.08523885,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
79,2007,HOLZSCHUH07,Arth,Poll,Field,Cereal,WCEurope,num.sp,2.316,6.977,21,21,3.236,5.05,4.241119899,1.078266286,0.109771323,1.102777465,0.117912687,11.96141269,131.9840463,105.5029673,98.66666667,0.678165966,0.134993263,0.01179852,0,0.0019996,0.06072449,0.056827842,0.055490318
80,2007,MANHOUDT07,Plants,Producer,Farm,Cereal,WCEurope,num.sp,31.22,43.626,18,20,5.4,9.32,7.721013175,1.57307519,0.139924522,0.334594388,0.003944045,9.611533841,169.4166667,119.5803956,142.5,0.814177012,0.066279535,0.005606728,0,0,0.025430517,0.035642771,0.052863436
81,2007,MANHOUDT07,Plants,Producer,Farm,Cereal,WCEurope,num.sp,26.96,31.96,12,8,5,9.34,7.014466005,0.682693792,0.221279745,0.170130835,0.013541832,9.611533841,169.4166667,119.5803956,142.5,0.814177012,0.066279535,0.005606728,0,0,0.025430517,0.035642771,0.052863436
82,2007,OBERG07,Arth,Pred,Field,Cereal,NEurope,num.sp,10.436,6.873,3,5,20.06,17.36,18.3043055,-0.169264049,0.53572086,-0.417660675,2.507566976,10.20204041,207.75,164.2071461,187.5,0.831166233,0.060212042,0.080616123,0,0.005001,0,0,0.023004601
83,2007,ZALAZAR07,Arth,Pred,Field,Veg,SAmerica,num.sp,2.059,4.118,3,3,4.585,9.424,7.410600549,0.222276182,0.672842504,0.693147181,3.398621121,5.806968362,264.8125,241.6995983,170,0.848418102,0.057268723,0.051261514,0,0,0,0,0.043051662
84,2007,ZALAZAR07,Arth,Herbivores,Field,Veg,SAmerica,num.sp,4.706,9.265,3,3,9.425,18.594,14.74054716,0.247426365,0.674319142,0.677405569,2.679578647,5.806968362,264.8125,241.6995983,170,0.848418102,0.057268723,0.051261514,0,0,0,0,0.043051662
85,2008,BOUTIN08,Plants,Producer,Farm,Mixed,NAmerica,num.sp,8.014018692,16.51869159,8,8,3.700745771,3.700745771,3.700745771,2.172746291,0.418600945,0.723300219,0.032929455,8.777179334,183.3333333,60.08523358,183,0.65828845,0.18053062,0.099940156,0,0,0,0.012966288,0.048274486
86,2008,BOUTIN08,Plants,Producer,Farm,Mixed,NAmerica,num.sp,16.6,22.488,8,8,4.163444728,5.088340397,4.648950419,1.197439392,0.301209325,0.303579138,0.014262918,8.777179334,183.3333333,60.08523358,183,0.65828845,0.18053062,0.099940156,0,0,0,0.012966288,0.048274486
87,2008,EKROOS08,Arth,Poll,Plot,Cereal,NEurope,num.sp.per.transect,0.99,0.98,40,15,0.26,0.2,0.245579791,-0.040141006,0.091681868,-0.010152371,0.004500935,9.825546421,132.5416667,87.51595093,116,0.637858432,0.293964307,0.021455785,0,0,0,0.010026068,0.036695408
88,2008,EKROOS08,Arth,Poll,Plot,Cereal,NEurope,num.sp.per.transect,1.14,1.4,40,15,0.5,0.4,0.475632647,0.538868219,0.094406091,0.205443974,0.010251349,9.825546421,132.5416667,87.51595093,116,0.637858432,0.293964307,0.021455785,0,0,0,0.010026068,0.036695408
